PPN_TP_Record,GND_ID
86891243,http://d-nb.info/gnd/118550217
86891219,http://d-nb.info/gnd/118550187
86891189,http://d-nb.info/gnd/118550152
86891073,http://d-nb.info/gnd/118550047
86891022,http://d-nb.info/gnd/118549995
86890840,http://d-nb.info/gnd/118549812
86890581,http://d-nb.info/gnd/118549553
86890468,http://d-nb.info/gnd/11854943X
86889877,http://d-nb.info/gnd/118548840
86889869,http://d-nb.info/gnd/118548832
86889737,http://d-nb.info/gnd/118548700
86889605,http://d-nb.info/gnd/118548573
86889060,http://d-nb.info/gnd/118548034
86889044,http://d-nb.info/gnd/118548018
86888978,http://d-nb.info/gnd/118547941
86888951,http://d-nb.info/gnd/118547925
86888838,http://d-nb.info/gnd/118547801
08688882X,http://d-nb.info/gnd/118547798
86888692,http://d-nb.info/gnd/118547666
86888633,http://d-nb.info/gnd/118547607
86888463,http://d-nb.info/gnd/118547437
86888447,http://d-nb.info/gnd/118547410
86888412,http://d-nb.info/gnd/118547380
86888161,http://d-nb.info/gnd/118547135
86887963,http://d-nb.info/gnd/118546937
86887890,http://d-nb.info/gnd/118546864
86887696,http://d-nb.info/gnd/11854666X
86887645,http://d-nb.info/gnd/118546619
86887580,http://d-nb.info/gnd/118546554
86887459,http://d-nb.info/gnd/118546422
86887408,http://d-nb.info/gnd/118546376
86887289,http://d-nb.info/gnd/118546252
08688719X,http://d-nb.info/gnd/118546163
86887084,http://d-nb.info/gnd/118546058
86886991,http://d-nb.info/gnd/118545965
86886924,http://d-nb.info/gnd/118545892
86886606,http://d-nb.info/gnd/118545574
86886428,http://d-nb.info/gnd/118545396
86886223,http://d-nb.info/gnd/118545191
86886215,http://d-nb.info/gnd/118545183
86886029,http://d-nb.info/gnd/118544993
08688574X,http://d-nb.info/gnd/118544713
86885588,http://d-nb.info/gnd/118544551
86885448,http://d-nb.info/gnd/118544411
86885235,http://d-nb.info/gnd/118544209
86885162,http://d-nb.info/gnd/118544136
86885138,http://d-nb.info/gnd/118544101
86885103,http://d-nb.info/gnd/118544071
86885049,http://d-nb.info/gnd/118544012
86884867,http://d-nb.info/gnd/118543830
86884700,http://d-nb.info/gnd/118543679
